Action Stock Horse Foal,Model Number,Name,Color,Release Dates,Released Through/Notes
Proud Arabian Foal,9548,"Grooming KitWith medium blue flexible vinyl pack saddle, two tortoiseshell barrettes, and one tortoiseshell ponytail holder","alabaster, dark grey or black mane/tail and muzzle, some with lip liner. Some models have soft grey body shading or pink muzzle and ears.",1958,SearsWish BookSame as #9
Proud Arabian Foal,974,"SS Morning Star, Pinto Half-Arabian","sandy bay tobiano, star, white mane with darker bay/black at top and bottom, darker bay/black tail, four high stockings",1997-1998,Color varies from light caramel to medium golden brown.
Proud Arabian Foal,1452,Fun Foals Collector's Event- Foal Prize,"palomino snowflake blanket, bald face, shaded muzzle and knees, white points",2009,Running Mare and Mustang prize(Rare - probably <20 made)
Proud Arabian Foal,490196,Spotted Legacy Gift SetWithProud Arabian Mare,"chestnut tobiano, stripe, darker chestnut mane/tail, four stockings",1996,"SearsWish Book(~3,023 made)"
Proud Arabian Foal,497679,Arabian Mare and Foal SetWithProud Arabian Mare,"red bay tobiano, solid face, black mane/tail, black shaded knees and hocks, two hind stockings",1988,"SearsWish Book(3,500 made)"
Proud Arabian Foal,703202,Batal(Hero) and Amira (Princess)WithProud Arabian Stallion,"shaded rose grey, star and long snip. black points, three socks, not near hind",2002,Breyer Tour Raffle Model(25 made)BreyerFestLive Auction(1 made)
Proud Arabian Foal,710603,Bornto Run,"glossy silver filigree, white points, grey shaded muzzle",2003,"BreyerFestRaffle, Live Auction(26 made)With Certificate of Authenticity"
Proud Arabian Foal,712092,"Frisky Foals SetWithAction Stock Horse Foal,Suckling Foal,Running Foal","shaded red chestnut, stripe, black mane/tail, no black on legs, three faint stockings/lighter lower legs, near hind stocking",1992,"JCPenneyHoliday Catalog(3,000 made)"
Proud Arabian Foal,,"Arabian Filly with Grooming KitWith blue vinyl pack saddle, two barrettes and one ponytail holder.","alabaster, dark grey or black mane/tail and muzzle, some with lip liner. Some models have soft grey body shading or pink muzzle and ears.",1958,SearsHoliday CatalogSame as #9
Proud Arabian Foal,,Proud Arabian Foal,unpainted,~1973-1980,"Factory escapee, complete with unsanded seams."
Proud Arabian Foal,,"AssortedMare and Foals Stable SetWith Proud Arabian Mare,Standing Stock Horse Foal, Phantom Wings","reddish bay, most with long stripe that widens over nose, black points, no stockings",1983,JCPenneyHoliday Catalog
Proud Arabian Foal,,Proud Arabian Foal,solid pink plastic,~1988,These were smuggled out of the factory after being used to clean an injection molding machine of a red material.(175-275 made)
Proud Arabian Foal,,Pink Proud Arabian Foal,,1990,BreyerFestLive Auction(1 made)Possibly the same as the pink PAF above?
Proud Arabian Foal,,"""Steel Dust"" Shaded Grey Proud Arabian Foal",shaded grey,1995,BreyerFestLive Auction(1 made)
Proud Arabian Foal,,Wedgewood PintoWithProud Arabian Mare,"Wedgewood pinto, white points, pink shaded muzzle, four high stockings",2001,BreyerFestLive Auction(1 made)With Certificate of Authenticity.
Proud Arabian Foal,,Bay Rabicano SetWithProud Arabian Stallion,bay rabicano(MatchesShalimar),2004,BreyerFestLive Auction(1 made)With Certificate of Authenticity
Proud Arabian Foal,,Vintage roan Appaloosa PAM/PAFWithProud Arabian Mare,"chestnut roan semi-leopard, bald face, charcoal grey mane/tail, hind stockings, lighter forelegs",2011,BreyerFestLive Auction(1 made)Pattern very similar to Appaloosa Performance Horse #99.
Proud Arabian Foal,,Glossy dappled chestnut PAM and glossy baby bay PAFWithProud Arabian Mare,"glossy shadedbaby bay, star, bay/black mane/tail, darker knees and hocks, hind socks",2012,BreyerFestLive Auction(1 made)
Proud Arabian Foal,,Mold No. 215 & 218 Proud Arabian Mare & Foal Fleabitten Grey with Bloody Shoulder & Chestnut Going GreyWithProud Arabian Mare,chestnut going grey,2015,BreyerFestLive Auction(1 made)
Proud Arabian Foal,,Mold No. 215 & 218Proud Arabian MareandFoalGlossy Bright Bay Minimal Sabino and Glossy Black Rabicano Sabino,black rabicano sabino,2019,BreyerFestLive Auction(1 set made)With Certificate of Authenticity
Proud Arabian Foal,,Glossy Metallic Blue w/ Black PointsWithIn-Between Mare,"glossy metallic blue w/ black points, four socks, star",2022,BreyerFestLive Auction(1 set made)With Certificate of Authenticity
Proud Arabian Foal,,Proud Arabian Foal,"golden brown chestnut, irregular star, flaxen mane/tail, four stockings",,Probable test modelModel is from theBlack Horse RanchModel Horse Collection.
Bouncer,707,Cefnoakpark Bouncer,"dark bay, black points, four low stockings",2007-2008,At least one known of with painted (not bare plastic) blaze
Bouncer,707,Glossy Cefnoakpark Bouncer,glossy dark bay,2007,BreyerFestLive Show prize(28 made)With Certificate of Authenticity
Bouncer,1457,Apple Jack,red sorrel,Jul-Dec 2011,Collector's Choice
Bouncer,1457G,Glossy Apple Jack,glossy red sorrel,2011,BreyerWestLive Show Prize Model(6 made)With Certificate of Authenticity
Bouncer,1482,Brookside Pink Magnum,red roan,2012-current,
Bouncer,1482G,Glossy Brookside Pink Magnum,glossy red roan,2012,BreyerFestcontest prize(10 made)With Certificate of Authenticity
Bouncer,1702,Icicle,glossy dappled grey,2013,"Limited Edition Flagship Horse(3,500 made)"
Bouncer,62123,Hope2022 Benefit Model,"glossy brown decorator w/ pink interference, black mane and tail w/ blue interference w/ pinto markings",2022,Limited Edition$1 from the sale of each model will be donated to PATH InternationalHope of the Year
Bouncer,90141,Sand Dollar,sabino dappled palomino,2007,Connoisseur Series(350 made)With Certificate of Authenticity
Bouncer,410423,Traditional Series Two Piece SetWithCleveland Bay,bay pinto,2008,JCPenneyHoliday Catalog
Bouncer,711383,Kelpie,clear glass,2020,"BreyerFestStore Special(750 made)5"" high"
Bouncer,711438,Seren,bay pinto,2008,BreyerFestFestival of Champions Prize(28 made)With Certificate of Authenticity
Bouncer,711460,Tom Thumb,light buckskin,2011,BreyerFestOpen Show Overall Reserve Grand PrizeWith Certificate of Authenticity
Bouncer,712233,Emerald,emerald clearware,2017,Web Special(350 each made)
Bouncer,712233,Amethyst,amethyst clearware,2017,Web Special(350 each made)
Bouncer,712233,Sapphire,sapphire clearware,2017,Web Special(350 each made)
Bouncer,712337,Bilberry,black leopard,2020,Berries PoniesWeb Special(350 made)Stamped Bilberry 2019 on belly
Bouncer,712412,GingerbreadWith Holiday Blanket,chestnut w/ two hind socks,2021,Holiday HorseWeb Special
Bouncer,712465,Bocca,black sabino,2022,Ponies and Palm TreesSpecial Run(52 Made)
Bouncer,620006,"Pony Palace Complete Gift SetWithNewsworthy, Deluxe Wood Barn, doll, and accessories.",bay,2008,Appears to be same as #707
Bouncer,,Dappled Silver Black,dappled silver black,2007,BreyerFestLive Auction(1 made)
Bouncer,,Bouncer,slightly metallic chestnut appaloosa,2008,BreyerFestLive Auction(1 made)
Bouncer,,Glossy semi-leopard buckskin British Spotted,glossy semi-leopard buckskin,2012,BreyerFestLive Auction(1 made)
Bouncer,,SherlockGlossy Dapple Bay Welsh Pony,glossy dapple bay,2012,Utterly Horses HullabalooBenefit Auction(1 made)
Bouncer,,Grulla Overo Pinto Welsh Pony (mold #707) with Blue Eyes,grey pinto,2013,BreyerFestLive Auction(1 made)
Bouncer,,Black Varnish Pintaloosa Bouncer (mold #707),black pintaloosa,2018,BreyerFestLive Auction(1 made)With Certificate of Authenticity
Proud Arabian Mare,8,Arabian Mare Pride(Old Mold),"glossy alabaster, grey mane/tail and muzzle",1958-1959,Showing variations.
Proud Arabian Mare,8,Arabian Mare Pride(Old Mold),"glossy alabaster, grey mane/tail, pink muzzle, grey nostrils",1958-1959,Very uncommon variation.
Proud Arabian Mare,10,Pride and JoyWithProud Arabian Foal,"glossy alabaster, grey mane/tail and muzzle",1958-1959,Same as #8
Proud Arabian Mare,11,"Prince, Pride, and JoyWithFamily Arabian Stallion,Proud Arabian Foal","glossy alabaster, grey mane/tail and muzzle",1958-1959,Same as #8
Proud Arabian Mare,12,Prince and PrideWithFamily Arabian Stallion,"glossy alabaster, grey mane/tail and muzzle",1958-1959,Same as #8
Proud Arabian Mare,14,"Sheba, Arabian Mare(Old Mold)","glossy bay, short blaze, black or charcoal-brown mane/tail, no black on legs, four stockings",1956-1959,Seeadvertisementbelow
Proud Arabian Mare,14,"Sheba, Arabian Mare(Old Mold)","glossy bay, short blaze, black or charcoal-brown mane/tail, no black on legs, four stockings,chalky",1956-1959,
Proud Arabian Mare,16,"""Sheik"" ""Sheba"" and ""Shah""WithFamily Arabian Stallion, Proud Arabian Mare,Proud Arabian Foal","glossy bay, short blaze, black or charcoal-brown mane/tail, no black on legs, four stockings",1958-1959,Same as #14
Proud Arabian Mare,17,"""Sheba"" and ""Shah""With Proud Arabian Mare,Proud Arabian Foal","glossy bay, short blaze, black or charcoal-brown mane/tail, no black on legs, four stockings",1958-1959,Same as #14
Proud Arabian Mare,38,"Appaloosa Mare, Speck(Old Mold)","glossy grey blanket, bald face, pink nose, black mane/tail, grey legs",1959-1959,Seeadvertisementbelow. Rare.
Proud Arabian Mare,215,Proud Arabian Mare,"matte or semigloss dapple grey, no or few dapples on head and neck, most with bald or light grey face, grey mane/tail, fore stockings, soft grey hind legs",1972-1975,
Proud Arabian Mare,215,Proud Arabian Mare,"matte dapple grey, no or few dapples on head and neck, most with bald or light grey face, grey mane/tail, four stockings",1976-1979,Shade varies from soft grey to much darker grey with dorsal stripe and charcoal grey shading on knees and hocks
Proud Arabian Mare,215,Proud Arabian Mare,"semigloss dapple grey, no or few dapples on head and neck, most with bald or light grey face, grey mane/tail, four stockings",1976-1979,Shade varies from soft grey to much darker grey with dorsal stripe and charcoal grey shading on knees and hocks
Proud Arabian Mare,215,Proud Arabian Mare,"dapple grey, no or few dapples on head and neck, most with bald or light grey face, grey mane/tail, four stockings,chalky",1976-1979,Shade varies from soft grey to much darker grey with dorsal stripe and charcoal grey shading on knees and hocks
Proud Arabian Mare,215,Proud Arabian Mare,"matte or semigloss dapple grey with dapples on head and neck, most with bald or light grey face, light grey lower legs or four stockings","1982, 1985-1986",
Proud Arabian Mare,215,Proud Arabian Mare,"matte dapple grey with dapples on head and neck, most with bald or light grey face, light grey lower legs or four stockings","1982, 1985-1986",Variation with two stockings and dark grey hind legs.
Proud Arabian Mare,215,Proud Arabian Mare,,,Showing multiple variations.
Proud Arabian Mare,215,Proud Arabian Mare,"matte or semigloss dapple grey, dapples on head and neck, most with bald or light grey face, black mane/tail, black or grey legs",1982-1984,
Proud Arabian Mare,215,Proud Arabian Mare,"matte or semigloss dapple grey, dapples on head and neck, most with bald or light grey face, black mane/tail, black or grey legs",1982-1984,"Variation with ""halo"" dappling."
Proud Arabian Mare,215,Proud Arabian Mare,"matte and semigloss soft medium dapple grey, no dapples on head or neck, slightly darker grey mane/tail, dark-shaded knees and hocks, four stockings",1987-1988,
Proud Arabian Mare,215,Proud Arabian Mare,"matte and semigloss soft medium dapple grey, no dapples on head or neck, slightly darker grey mane/tail, dark-shaded knees and hocks, four stockings",1987-1988,Chalky pearlescent model. With pink muzzle and ears.
Proud Arabian Mare,216,Proud Arabian Mare,"glossy mahogany bay, solid face, black points, various stockings",1972-1980,"Possibly a very heavily semigloss model. See examples of matte, satin, and semi-glossybelow."
Proud Arabian Mare,216,Proud Arabian Mare,"semigloss mahogany bay, solid face, black points, various stockings",1972-1980,Two shades shown. Uncommon no sock variation also exists
Proud Arabian Mare,216,Proud Arabian Mare,"matte mahogany bay, solid face, black points, various stockings",1972-1980,Two stocking patterns shown.
Proud Arabian Mare,216,Proud Arabian Mare,"golden mahogany bay, solid face, black points, various stockings",1972-1980,"With ""B"" mold stamp"
Proud Arabian Mare,216,Proud Arabian Mare,"mahogany bay, solid face, black points, various stockings",1972-1980,Multiple variations shown.
Proud Arabian Mare,216,Proud Arabian Mare,"mahogany bay, solid face, black points, various stockings,chalky",1970s,
Proud Arabian Mare,217,Proud Arabian Mare,"most matte, some semigloss alabaster, grey mane/tail",1972-19761978-1981,
Proud Arabian Mare,217,Proud Arabian Mare,"alabaster, grey mane/tail,chalky",1970s,
Proud Arabian Mare,805,Proud Arabian Mare,"semigloss dappled rose grey, solid face, darker rose grey mane/tail, knees hocks and muzzle",1989-1990,Some with rose and grey striped mane/tail. Showing multiple color variations.
Proud Arabian Mare,840,Proud Arabian Mare,"slightly semigloss red chestnut, solid face with pale area over nose, lighter chestnut mane/tail, four stockings",1991-1992,
Proud Arabian Mare,908,Arabian Mare(Old Mold),"woodgrain, black eyes, no white markings",1959,
Proud Arabian Mare,948,"Karma Gypsy, Pinto Half-Arab","dark bay tobiano, snip extending above nose, black or bi-color eyes, white mane, black forelock and tail, hind socks",1996-1998,"Models issued in first three months of 1997 have bi-colored eyes, shown."
Proud Arabian Mare,1128,CarinosaArabian Hall of Famer,"light shaded chestnut, dark shaded face, lighter chestnut mane/tail, off hind sock",2001,"Hall of Fame Edition(10,000 made)With hang tag. Showing hang tag and box sticker."
Proud Arabian Mare,1216(?),Proud Arabian Mare,"mahogany bay, solid face, black points, various stockings",,Blister-wrappedDisplay Box. Same as #216
Proud Arabian Mare,2155,"Proud Arabian Mare Gift SetWith blue/white halter, carrying case.","matte or semigloss dapple grey, no or few dapples on head and neck, most with bald or light grey face, grey mane/tail, fore stockings, soft grey hind legs",1972-1973,Same as #215
Proud Arabian Mare,2165,"Proud Arabian Mare Gift SetWith red/white halter, carrying case.","mahogany bay, solid face, black points, various stockings",1972-1973,Same as #216
Proud Arabian Mare,2168,Mahogany Bay Proud Arabian Mare With English Saddle,"mahogany bay, solid face, black points, various stockings",1976-1977,SearsHoliday CatalogSame as #216. Also came without English saddle and bridle.
Proud Arabian Mare,2175,"Proud Arabian Mare Gift SetWith green/white halter, carrying case.","most matte, some semigloss alabaster, grey mane/tail",1972-1973,Same as #217
Proud Arabian Mare,400393,Steel Dust,"pale shaded smoke grey, bald face, dark grey points, off hind stocking",1994,"Just About HorsesSubscriber Special(1,500 made)Most have ""JAH 1993"" or ""JAH '93"" handwritten on belly. With Certificate of Authenticity."
Proud Arabian Mare,410293,Proud Arabian Mare,"glossy silver filigree, bald face, white points",1993,BreyerFestVolunteer Model(30 made)
Proud Arabian Mare,490196,Spotted Legacy Gift SetWithProud Arabian Foal,"chestnut tobiano, solid face, darker chestnut mane/tail, four stockings",1996-1997,SearsHoliday Catalog
Proud Arabian Mare,492091,"Arabian Horses of the World SetWithFamily Arabian Stallion,Proud Arabian Stallion","fleabitten rose grey, darker grey points",1991-1992,"SearsHoliday Catalog(4,350 made)"
Proud Arabian Mare,492091,"Arabian Horses of the World SetWithFamily Arabian Stallion,Proud Arabian Stallion","fleabitten rose grey, lighter grey points than above",1991-1992,Color variation.
Proud Arabian Mare,492091,"Arabian Horses of the World SetWithFamily Arabian Stallion,Proud Arabian Stallion","fleabitten rose grey, lighter grey points than above",1991-1992,Color variation
Proud Arabian Mare,497679,Arabian Mare and Foal SetWithProud Arabian Foal,"red bay overo, solid face, black points, near hind sock",1988,"SearsHoliday Catalog(3,500 made)"
Proud Arabian Mare,703002,Banat Er Rih,"shaded rose grey, narrow stripe and snip, shaded muzzle, black or dark grey points, hind socks, dorsal stripe",2002,Breyer Tour ModelWith Certificate of Authenticity. Two shades shown.
Proud Arabian Mare,703002,Banat Er Rih,,,Showing Certificate of Authenticity and color variations
Proud Arabian Mare,705495,"Parade of BreedsWithCantering Welsh Pony,Saddlebred Weanling","sandy bay, solid face, black points, off hind sock",1995,"QVC(~1,800 made)"
Proud Arabian Mare,711289,SierraRose,matte dappled rose grey,2018,"BreyerFestSpecial Run(725 made)""BreyerFest 2018"" stamped on belly"
Proud Arabian Mare,711289,Sierra Rose,glossy dappled rose grey,2018,"BreyerFestSpecial Run(725 total made)""BreyerFest 2018"" stamped on belly"
Proud Arabian Mare,711523,Lorelei,clear crystal,2022,"BreyerFestStore Special(2,200 made)"
Proud Arabian Mare,712015,Celebrity,"glossy shaded chestnut, flaxen mane/tail, near fore and off hind socks",2008,"Velvet Rope Event(15 made)Stamped ""BREYERVelvet Rope Event 2008"" in gold on belly."
Proud Arabian Mare,712084,La Jolla,"dapple grey, bi-color eyes, shaded muzzle, grey mane/tail, black legs",2012,"Passage to the Pacific(40 made)Stamped ""Limited Edition 2012"" on belly."
Proud Arabian Mare,712144,Farah,"glossy palomino overo, bald face, white mane/tail, four stockings",2015,"Vintage Club(500 made)With numbered Certificate of Authenticity booklet. Stamped ""2015 Vintage Collectors Club"" on belly."
Proud Arabian Mare,,"Arabian Mare with Grooming KitWith blue vinyl pack saddle, white plastic comb, metal nail file, nail clippers, small white notepad and gold leaf rectangle for applying a monogram.","glossy alabaster, grey mane/tail and muzzle",1958,SearsHoliday CatalogSame as #8
Proud Arabian Mare,,Proud Arabian Mare,"glossy palomino, white points",~1971,Test model. Two known to exist.
Proud Arabian Mare,,Proud Arabian Mare,"glossy bay, blaze, black mane/tail and forelock, black points, hind stockings",~1971,"Marney Walerius test model. With ""U.S.A."" mold stamp, splayed legs. Same coloring as #14with black forelegs."
Proud Arabian Mare,,Proud Arabian Mare,"glossy alabaster, grey mane/tail and muzzle, black lined nostrils",~1971,"Marney Walerius test model. With ""U.S.A."" mold stamp, splayed legs. Same coloring as #8. Showing original (#8, left) and splayed leg versions."
Proud Arabian Mare,,Proud Arabian Mare,"semigloss black leopard, shaded muzzle, eye whites, black mane/tail",~1971,From Marney Walerius' records. Appears to be a test of theWestern Prancer #115.
Proud Arabian Mare,,Proud Arabian Mare,unpainted white,1980,Just About HorsesVII/#3
Proud Arabian Mare,,Proud Arabian MareWith canvas stable blanket,"mahogany bay, solid face, black points, various stockings",1980,Montgomery WardHoliday CatalogSame as #216.
Proud Arabian Mare,,"AssortedMare and Foals Stable SetWithProud Arabian Foal,Stock Horse Foal,Phantom Wings","reddish bay, blaze, black mane/tail, black or grey legs",1983,JCPenneyHoliday Catalog
Proud Arabian Mare,,Proud Arabian Mare,"light reddish chestnut, solid face, slightly lighter chestnut mane/tail, four stockings",1985,Model Horse Congress(288 made)Lighter and less red than #840
Proud Arabian Mare,,Proud Arabian Mare,"matte and semigloss black, bald face, black mane/tail, one to four stockings",1986,Breyer-sponsored live shows(54-60 made)
Proud Arabian Mare,,Proud Arabian Mare,"dark rose grey, bald face, black points, four stockings. Some with subtle dappling.",1986,Breyer-sponsored live shows(5-11 made)
Proud Arabian Mare,,Proud Arabian Foal Test,black pinto,~1987,Test Model(1 made)
Proud Arabian Mare,,Test Color Chestnut Proud Arabian Mare,chestnut,1993,BreyerFestLive Auction(1 made)
Proud Arabian Mare,,Rose Bay,"rose bay, shaded muzzle, black points",1996,BreyerFestLive Auction(1 made)
Proud Arabian Mare,,Bright Chestnut,bright chestnut,1997,BreyerFestLive Auction(1 made)With Certificate of Authenticity
Proud Arabian Mare,,Proud Arabian Mare,"red roan, darker red mane/tail, darker lower legs",1997,BreyerFestLive Auction(1 made)With Certificate of Authenticity
Proud Arabian Mare,,Blue Roan,blue roan,1998,BreyerFest Live Auction(1 made)With Certificate of Authenticity
Proud Arabian Mare,,Wild Lacy Dapple Charcoal Proud Arabian Mare,"dappled charcoal, white points",2000,BreyerFestLive Auction(1 made)
Proud Arabian Mare,,Test Model: Breyer Proud Arabian Mare,coffee dun,2000,WCMHC JamboreeAuction(1 made)
Proud Arabian Mare,,Wedgewood PintoWithProud Arabian Foal,"Wedgewood pinto, bald face, white mane/tail",2001,BreyerFestLive Auction(1 made)With Certificate of Authenticity.
Proud Arabian Mare,,Dapple Bay Pinto Proud Arabian Mare,"glossy dapple bay pinto, black tail, high fore stockings",2001,BreyerFestSilent Auction(1 made)
Proud Arabian Mare,,Shalimar,"dark bay rabicano, black points, four high stockings",2002,Connoisseur Series(350 made)With Certificate of Authenticity. Showing color variations.
Proud Arabian Mare,,Alma,glossy shaded grey,2004,BreyerFestEarly Bird Prize(1 made)
Proud Arabian Mare,,Proud Arabian Mare,"glossy chestnut sabino, shaded muzzle, flaxen mane/tail, three stockings, near hind sock",2006,Test Run/OOAK byTom Bainbridge
Proud Arabian Mare,,Dappled Bay Going Grey,"dappled bay going grey, black going grey mane/tail, shaded knees and hocks, near hind and off fore socks",2007,BreyerFestLive Auction(1 made)With Certificate of Authenticity
Proud Arabian Mare,,Soft Grulla,"grulla, shaded muzzle, black mane/tail with grulla at top of tail, three socks, not off fore",2008,BreyerFestLive Auction(1 made)With Certificate of Authenticity
Proud Arabian Mare,,GlossyDappled Palomino Proud Arabian Mare,"glossy dappled palomino, blaze, snip, pale flaxen mane/tail, two near socks",2009,BreyerFestLive Auction(1 made)With Certificate of Authenticity
Proud Arabian Mare,,Vintage roan Appaloosa PAM/PAFWithProud Arabian Foal,"chestnut roan semi-leopard, bald face, charcoal grey mane/tail, hind stockings, lighter forelegs",2011,BreyerFestLive Auction(1 set made)Pattern very similar to Appaloosa Performance Horse #99. With Certificate of Authenticity
Proud Arabian Mare,,Glossydappled chestnutPAM and glossy baby bay PAFWithProud Arabian Foal,"glossy dappled chestnut, shaded muzzle, flaxen mane/tail, off hind sock",2012,BreyerFestLive Auction(1 made)With Certificate of Authenticity
Proud Arabian Mare,,Proud Arabian Mare (mold 215) in Pearly Dapple Grey,"pearly dapple grey, grey shading to black mane/tail, shaded knees and hocks, leg barring",2014,BreyerFestLive Auction(1 made)With Certificate of Authenticity
Proud Arabian Mare,,Mold No. 215 & 218 Proud Arabian Mare & Foal Fleabitten Grey with Bloody Shoulder & Chestnut Going GreyWith Proud Arabian Foal,flea-bitten grey with bloody shoulder,2015,BreyerFestLive Auction(1 made)
Proud Arabian Mare,,Glossy Dapple Black Proud Arabian Mare (mold #215),glossy dappled black,2017,BreyerFestLive Auction(1 made)
Proud Arabian Mare,,Mold No. 215 & 218Proud Arabian MareandFoalGlossy Bright Bay Minimal Sabino and Glossy Black Rabicano Sabino,bright bay sabino,2019,BreyerFestLive Auction(1 set made)With Certificate of Authenticity
Proud Arabian Mare,,Star Dapple Grey,chalky star dapple grey w/ four stockings,2023,"BreyerFestLive Auction(1 made, sold for $10,000)With Certificate of Authenticity"
Proud Arabian Mare,,Proud Arabian Mare,"dapple grey, white points",?,Black Horse RanchModel Horse CollectionTest Run
Proud Arabian Mare,,Proud Arabian Mare,"reddish liver chestnut, blaze, reddish beige mane/tail, three stockings, not near hind",?,Black Horse RanchModel Horse CollectionTest Run
Proud Arabian Mare,,Proud Arabian Mare,solid black,?,Believed to be a Marney Walerius Test Run
Proud Arabian Mare,,Proud Arabian Mare,"dapple grey, very dark grey mane/tail and hind legs, fore stockings",?,Believed to be a Marney Walerius Test Run
Proud Arabian Mare,,Proud Arabian Mare,"dapple grey, black points, four socks",?,Test Run?
Proud Arabian Mare,,Proud Arabian Mare,"palomino, blaze, four socks",?,Test Run?
Brighty,375,Marguerite Henry's Brighty,grey,1982-1987,
Brighty,376,Marguerite Henry's Brighty(Brighty 1991),brownish-grey,1991-2005,
Brighty,1295,Brighty of the Grand Canyon Model and Book SetWith paperback copy of Marguerite Henry'sBrighty of the Grand Canyon,grey,2007,
Brighty,1761,Hickory Hills Wall Street,"light brown and white, bars on legs",2016-2017,"Also sold in #712983, Ultimate Gift Set"
Brighty,1761,Glossy Hickory Hills Wall Street,"glossy light brown and white, bars on legs",2017,Web Special(~125 made)
Brighty,2075,Brighty Gift SetWith paperback and carrying case,greythird photo is of achalky,1974-1981,Same as #375
Brighty,2075,Marguerite Henry's Brighty,grey,1974-1981,Chalky
Brighty,430047,Cornelius,"glossy pearlescent ""candy corn"" decorator",2017,Web Special(50 made)
Brighty,701302,"Mischief the Holiday DonkeyWith Santa hat, boots, string of Christmas lights",buckskin,2002,Holiday Horse
Brighty,701395,Marguerite Henry's Brighty,brownish-grey,~1990s,Appears to be the same as #376
Brighty,711015,Oliver,grey pinto,2005,BreyerFestSpecial Run(750 made)With Certificate of Authenticity
Brighty,711123,Cameo,brown and white,2010,BreyerFestLook-A-Like Contest Prize(25 made)
Brighty,711176,Tennessee Titan,brown and white Tyger-Spotted,2013,"BreyerFestStore Special(1,000 made)"
Brighty,711614,Peanutine,dark brown and white spotted,2023,"BreyerFestSpecial Run(1,800 made)Stamped ""BreyerFest 2023''"
Brighty,711614,Peanutine,rose/gold/green colorshift and white spotted,2023,"BreyerFestSpecial Run(200 made)Stamped ""BreyerFest 2023''"
Brighty,712259,Santa Surprise,glossy black,2018,Web Special(12 made)
Brighty,712374,Nugget,copenhagen blue,2021,Vintage Club(125 made)
Brighty,712374,Nugget,wedgewood blue,2021,Vintage Club(125 made)
Brighty,712374,Nugget,gold florentine,2021,Vintage Club(125 made)
Brighty,712374,Nugget,gold,2021,Vintage Club(125 made)
Brighty,,UnicornOliver,grey pinto,2005,BreyerFestSilent Auction(1 made)#711015above with added horn
Brighty,,Mahogany pinto with custom British Beach Donkey halter,bay pinto,2012,BreyerFestSilent Auction(1 made)
Proud Arabian Stallion,211,Proud Arabian Stallion,"alabaster, grey-striped mane/tail",1971-761978-81,
Proud Arabian Stallion,211,Proud Arabian Stallion,"alabaster, grey-striped mane/tail",1971-761978-81,Variation with heavy shading
Proud Arabian Stallion,212,Witez II(1971-1974)Proud Arabian Stallion(1975-1980),"mahogany bay, blaze, black points, four 
	stockings or two hind socks, matte or semi gloss",1971-1980,"At least one believed to have been released 
	without blaze. Showing two shades."
Proud Arabian Stallion,212,Witez II(1971-1974)Proud Arabian Stallion(1975-1980),"mahogany bay, blaze, black points, four 
	stockings or two hind socks, matte or semi gloss",1971-1980,"With airbrushed blaze and body 
	texture typical of early models."
Proud Arabian Stallion,212,Witez II(1971-1974)Proud Arabian Stallion(1975-1980),"mahogany bay, blaze, black points, four 
	stockings or two hind socks, matte or semi gloss",1971-1980,Chalky model.
Proud Arabian Stallion,212,Witez II,"mahogany bay, blaze, black points, four 
	stockings or two hind socks, matte or semi gloss",1972-1973,"Presentation CollectionSame as #212above, but mounted on American 
	walnut wood base with brass ""Witez"" nameplate.  See also #5212."
Proud Arabian Stallion,213,Proud Arabian Stallion,"matte and semigloss dapple grey, bald or 
	light grey face, most with grey mane/tail and four stockings, some with rose 
	and  grey striped mane/tail",1972-1988,"For variation examples, please see theProud Arabian Mare"
Proud Arabian Stallion,213,Proud Arabian Stallion,"matte and semigloss dapple grey, bald or 
	light grey face, most with grey mane/tail and four stockings, some with rose 
	and  grey striped mane/tail",1972,"Model reportedly sold with 
	headstall"
Proud Arabian Stallion,213,Proud Arabian Stallion,"matte and semigloss dapple grey, bald or 
	light grey face, most with grey mane/tail and four stockings, some with rose 
	and  grey striped mane/tail",1972-1988,"Variation with hind socks that 
	are similar to those on Witez II"
Proud Arabian Stallion,213,Proud Arabian Stallion,"matte and semigloss dapple grey, bald or 
	light grey face, black points",1982-1984,Showing variations in dappling.
Proud Arabian Stallion,213,Proud Arabian Stallion,"matte and semigloss dapple grey, light grey face, black points, 
	hind stockings",1982-1984,"Either a variation of the above 
	or possibly a very small special run."
Proud Arabian Stallion,213,Proud Arabian Stallion,"matte and semigloss dapple grey, bald or 
	light grey face, most with grey mane/tail and four stockings, some with rose 
	and  grey striped mane/tail",1972-1988,Chalky model.
Proud Arabian Stallion,804,Proud Arabian Stallion,"dappled rose grey, solid face, grey-shaded 
	mane/tail, knees, hocks and muzzle, some with dorsal stripe.",1989-1990,"Body color varies from grey with almost no 
	rose tone to a rosy orange with almost no grey. Some with rose and grey 
	striped mane/tail."
Proud Arabian Stallion,839,Proud Arabian Stallion,"light dapple grey, white head with grey 
	shading on sides of nose and knees, white mane with grey tips, grey tail 
	with some white, four high socks",1991-1994,"Some horses are very pale, while others 
	approach medium grey."
Proud Arabian Stallion,933,Sundown Proud Arabian Stallion,"light reddish chestnut, snip, flaxen 
	mane/tail, four stockings",1995-1996,
